Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price_Diff
2017-12-29,2190.23999,1987.9425,2247.11749,1987.9425,202.29748999999993
2017-12-30,2355.8925,2190.23999,2408.18874,2178.99375,165.6525099999999
2017-12-31,2350.355,2355.8925,2414.485,2259.1125,-5.537499999999909
2018-01-01,2741.56875,2350.355,2947.36,2333.35375,391.2137499999999
2018-01-02,2739.775,2741.56875,2815.5075,2640.31374,-1.793749999999818
2018-01-03,2832.67875,2739.775,2876.7775,2726.06625,92.90374999999995
2018-01-04,2773.3675,2832.67875,2837.3775,2671.76125,-59.3112500000002
2018-01-05,2769.8025,2773.3675,2814.96875,2721.71125,-3.5650000000000546
2018-01-06,2541.20874,2769.8025,2797.92125,2486.185,-228.59375999999975
2018-01-07,2571.195,2541.20874,2578.05875,2434.83125,29.98626000000013
2018-01-08,2700.72125,2571.195,2750.99875,2555.37,129.5262499999999
2018-01-09,2720.69,2700.72125,2834.2375,2683.87,19.96875
2018-01-10,2715.70375,2720.69,2781.2075,2694.95875,-4.986249999999927
2018-01-11,2719.6175,2715.70375,2754.33125,2616.8075,3.913749999999709
2018-01-12,2868.65375,2719.6175,2903.37125,2707.8225,149.0362500000001
2018-01-13,2740.70875,2868.65375,2926.03375,2671.16333,-127.94500000000016
2018-01-14,2741.07125,2740.70875,2766.5525,2682.46875,0.3625000000001819
